Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	2750.0	24.145	0.041417	2.2386	13.628	8.2674	21.026	34.668	980.84	-0.091857	516.68	0.090431	supercritical
300.00	2760.0	24.158	0.041395	2.2352	13.660	8.2356	21.036	34.665	982.11	-0.091868	518.08	0.090568	supercritical
300.00	2770.0	24.171	0.041372	2.2318	13.692	8.2038	21.046	34.663	983.38	-0.091879	519.49	0.090703	supercritical
300.00	2780.0	24.184	0.041350	2.2285	13.724	8.1721	21.056	34.661	984.64	-0.091890	520.89	0.090839	supercritical
300.00	2790.0	24.197	0.041328	2.2251	13.756	8.1405	21.066	34.659	985.90	-0.091901	522.29	0.090974	supercritical
300.00	2800.0	24.210	0.041306	2.2218	13.788	8.1089	21.076	34.657	987.16	-0.091911	523.70	0.091110	supercritical
300.00	2810.0	24.222	0.041284	2.2185	13.819	8.0774	21.085	34.655	988.42	-0.091921	525.10	0.091245	supercritical
300.00	2820.0	24.235	0.041262	2.2152	13.851	8.0460	21.095	34.653	989.68	-0.091931	526.51	0.091379	supercritical
300.00	2830.0	24.248	0.041241	2.2120	13.883	8.0147	21.105	34.651	990.93	-0.091940	527.91	0.091514	supercritical
300.00	2840.0	24.261	0.041219	2.2087	13.915	7.9835	21.115	34.649	992.18	-0.091949	529.32	0.091648	supercritical
300.00	2850.0	24.273	0.041198	2.2055	13.947	7.9523	21.124	34.648	993.42	-0.091958	530.72	0.091782	supercritical
300.00	2860.0	24.286	0.041176	2.2023	13.979	7.9213	21.134	34.646	994.67	-0.091967	532.13	0.091916	supercritical
300.00	2870.0	24.299	0.041155	2.1991	14.011	7.8903	21.144	34.644	995.91	-0.091975	533.53	0.092049	supercritical
300.00	2880.0	24.311	0.041134	2.1959	14.042	7.8593	21.153	34.643	997.15	-0.091984	534.94	0.092183	supercritical
300.00	2890.0	24.324	0.041112	2.1928	14.074	7.8285	21.163	34.641	998.39	-0.091992	536.34	0.092316	supercritical
300.00	2900.0	24.336	0.041091	2.1897	14.106	7.7977	21.172	34.639	999.62	-0.091999	537.75	0.092449	supercritical
300.00	2910.0	24.349	0.041070	2.1866	14.138	7.7670	21.182	34.638	1000.9	-0.092007	539.15	0.092581	supercritical
300.00	2920.0	24.361	0.041049	2.1835	14.170	7.7363	21.191	34.636	1002.1	-0.092014	540.56	0.092714	supercritical
300.00	2930.0	24.373	0.041028	2.1804	14.202	7.7058	21.201	34.635	1003.3	-0.092021	541.97	0.092846	supercritical
300.00	2940.0	24.386	0.041008	2.1774	14.234	7.6753	21.210	34.633	1004.5	-0.092028	543.37	0.092978	supercritical
300.00	2950.0	24.398	0.040987	2.1743	14.265	7.6449	21.220	34.632	1005.8	-0.092034	544.78	0.093110	supercritical
300.00	2960.0	24.410	0.040966	2.1713	14.297	7.6145	21.229	34.630	1007.0	-0.092040	546.18	0.093241	supercritical
300.00	2970.0	24.423	0.040946	2.1683	14.329	7.5843	21.239	34.629	1008.2	-0.092047	547.59	0.093373	supercritical
300.00	2980.0	24.435	0.040925	2.1653	14.361	7.5541	21.248	34.628	1009.4	-0.092052	549.00	0.093504	supercritical
